Job Title,Perusahaan,Lokasi,Status Pekerjaan,Gaji,Description and Requirement,Bidang Pekerjaan
Admin,PT. Teralink Lintas Teknologi,"Jakarta Timur, Jakarta Raya",Penuh waktu,Rp 4.500.000 – Rp 5.000.000 per month,"Qualifications & experienceMinimal D3Pengalaman minimal 3 tahunUsia dibawah 28 tahunTasks & responsibilitiesMenguasai Microsoft Office, Word dan ExcelSkill komunikasi dan interpersonal yang baikJujur, disiplin, teliti dan mampu bekerjasama dalam teamMenguasai Bahasa Inggris menulis dan membacaBenefitsBPJS KetenagakerjaanUang Makan & Pulsa",Asisten Administratif (Administrasi & Dukungan Perkantoran)
Sales & Marketing Support Staff,PT Sentra Agronusa Bhakti,"Surabaya, Jawa Timur",Penuh waktu,Rp 4.500.000 – Rp 4.800.000 per month,"Deskripsi pekerjaan: Mendukung kebutuhan operasional dan administratif tim sales & marketing (maintain database pelanggan, pembuatan kontrak penjualan, faktur penjualan, pengiriman dokumen ke pelanggan, dll). Menyiapkan kebutuhan promo atau event sales & marketing, baik konten media sosial, material promo dan logistik untuk event, dan kebutuhan lain yang diperlukan oleh tim. Berkomunikasi dengan pelanggan secara rutin terkait program sales & marketing. Menyiapkan laporan sesuai kebutuhan perusahaan.  Kualifikasi: Minimal Pendidikan D3 semua jurusanMemiliki kemampuan copywriting/surat menyurat yang baik. Pengalaman posisi setara minimal 2 tahun di bidang distribusi Menguasi Microsoft office (terutama Excel untuk pengolahan data) Lebih diutamakan bila memiliki kemampuan design (minimal familiar dengan program Canva)Mampu berkomunikasi dengan baik (secara lisan dan tertulis)Jujur, teliti dan cepat tanggapBersedia bekerja di luar jam kantor (ikut customer visit, event lapangan, dll) dan melakukan perjalanan dinas luar kota/luar pulau.",Asisten Administratif (Administrasi & Dukungan Perkantoran)
ADMINISTRATOR,PT Ultra Sakti ,Jakarta Raya,Kontrak,,"Spesifikasi Kerja:Pendidikan minimal : D3 Segala JurusanMaksimal Usia : 28 tahunPenempatan : JAKARTA / BEKASISenang kegiatan administrasiMemiliki kemampuan komunikasi dan membina relasi yang baikMenguasai Microsoft Office (Word, Excel, Power Point, Outlook)
Deskripsi Pekerjaan:Melakukan kegiatan perekapan dataMelakukan pengarsipan dataBerkoordinasi dengan departemen lain dalam penyesuaian dataMembalas email, dan membuat dokumen",Asisten Administratif (Administrasi & Dukungan Perkantoran)
Admin Merchandiser (Ecommerce),PT Indo Seungli Makmur ,"Jakarta Pusat, Jakarta Raya",Kontrak,,"Job Description
Upload new productUpload promo, price and stockCollect new seller document & coordinate with legal team for agreementTraining Partner Office with new sellerRegularly check outstanding order, maintain issue delivery with SCM & Ops TeamRegularly check stock, counter and promotion
Requirement :
Fast LearnerResponsibleCan Work under pressureExcellent at Excell (Pivot, Vlookup, etc), PhotoshopHave good communication & Ethics",Pengembangan Bisnis Baru (Penjualan)
ADMIN BALIKPAPAN,PT Mitracomm Ekasarana ,"Balikpapan Kota, Kalimantan Timur",Penuh waktu,Rp 3.000.000 – Rp 4.000.000 per month,"KUALIFIKASI :Usia Max 30 tahunPendidikan Min D3/S1Memiliki pengalaman dibidang Admin minimal 6 bulanMenguasai rumus Excel (Hlookup, Vlookup, Pivod, dan IF)Diutamakan berdomisili di BalikpapanPenempatan Balikpapan JOBDESK :Membuat ReportingMembuat report KPI MPC dan CSO.Menyerahkan KPI DSE/CSO ke Sales Area dan MPCBertanggung jawab untuk memetakan DSE/CSOReview & penyeimbangan target KPI RSE/CSOUpdate data personal CSO setiap bulan untuk CSO insentifMembuat data materi untuk pertemuan MeetingBerkoordinasi dengan unit kerja internal & eksternal (MPC/outlet)",Asisten Administratif (Administrasi & Dukungan Perkantoran)
Logistik Staff,Skincara,"Tangerang Regency, Banten",Penuh waktu,,"KualifikasiLulusan Minimal D3/S1 Semua Jurusan Memiliki pengalaman minimal 2 tahun di bidang Logistik, manajemen gudang atau posisi terkaitMenguasai Ms. ExcelTerbiasa dengan deadlineTanggung jawab, cekatan, dan komunikatif.  Tugas dan Tanggung Jawab : Bertanggung jawan atas operasional logistik, gudang, termasuk pengiriman, penerimaan, penyimpanan, dan pengeluaran produk / barang.Memahami pengelolaan stock dalam memantau dan mejaga tingkat stock yang optimal dan akurat. Membuat Delivery Order, dan melakukan pengontrolan kelancaran seluruh orderan yang masuk dan melaporkan progress pengiriman kepada pihak terkait.Bertanggung jawab untuk memastikan mutasi barang (barang masuk, barang keluar, pemusnahan, mutasi stock).Mengontrol stock barang (stock near ED, overstock dan understock), dan menjaga agar stock on hand sesuai target. Melakukan pengontrolan dan menjaga tingkat akurasi data stock dengan fisik stock secara optimal.","Pergudangan, Penyimpanan & Distribusi (Manufaktur, Transportasi & Logistik)"
Staff Admin Gudang / Warehouse,PT.MITA MANTARI,"Bekasi, Jawa Barat",Penuh waktu,"Rp 3,840,000 – Rp 4,900,000 per month","About usPT Mita Mantari, didirikan pada 1987, merupakan perusahaan distribusi dan ritel furnishing untuk kantor dan ruang komersial di
Indonesia. Dengan distribusi ke seluruh area Indonesia, PT Mita
Mantari menyediakan beragam produk dengan kualitas utama dan
pelayanan optimal yang menjamin kepuasan pelanggan.Qualifications & experienceLulusan Minimal SMAMengerti Software AccurateTeliti, Rajin, CekatanBertanggung jawabDapat berkomunikasi dengan baikMemiliki pengalaman di bidang yang sama minimal 1-2 tahunTasks & responsibilitiesMenerima barang masukMemeriksa jumlah dan kualitas barangMencocokan jumlah dengan POMembuat laporan penerimaan barangInput di program yang telah disediakanMembuat surat jalan pengirimanCek jumlah dengan surat jalan yang dimuatEvaluasi hasil pengirimanMembuat Laporan StokBenefitsUang Makan
Hari Kerja (Senin - Sabtu)","Pergudangan, Penyimpanan & Distribusi (Manufaktur, Transportasi & Logistik)"
Staff Admin Gudang,PT Winn Appliance ,"Semarang, Jawa Tengah",Kontrak,Rp 3.000.000 – Rp 3.500.000 per month,"Kualifikasi: Memiliki pengalaman kerja minimal 1 tahunLulusan SMA, D3, S1 & sederajatMenguasai Microsoft Office (Word dan Excel)Umur maksimal 30 TahunDapat menghandle kerja lapanganMemahami menghitung stok barangMemahami alur perhitungan stok opname gudangSiap Bekerja dibawah tekananBisa Ms.OffficeTeliti, rapi dan cekatanMinimal Sudah Vaksin Covid Dosis ketiga(3)Akan ada trainingPenempatan di Semarang-Jawa Tengah Tugas Pekerjaan:Mengerjakan Stok barang setiap hari dan setiap bulanMencatat pengeluaran dan masukan barang setiap hariMembuat dan melakukan laporan stok opname setiap bulanMembuat PO, surat jalanMengecek ketersediaan stok produk secara berkala dan melakukan pemesanan produk sesuai kebutuhan dan sesuai dengan standard yang telah ditentukanMembuat laporan pemakaian produkMenghandle pekerjaan di gudang","Pergudangan, Penyimpanan & Distribusi (Manufaktur, Transportasi & Logistik)"
Recruitment Staff,PT Mega Central Finance ,"Jakarta Barat, Jakarta Raya",Kontrak,,"Job Responsibilities:Searching for qualified candidates as per requirements of user for all DirectorateConducting Psychological Test and other related activitiesKeeps the documentation of the recruitment process up to date.Recruitment Process report in IT & Digital Business AreaRegister all new employee data to HR systemQualifications:Bachelor’s Degree from PsychologyMaximum 26 Years OldFresh graduated or have 1 years experience as Recruitment admin staffExcellent computer skills, including advanced Excel and MS Office, MS Visio, etc.Fast learner ,good analytical skill and able to work with targetExcellent organizational and communication skills (written and verbal), and excellent relationship building skillsStrong multi-tasking capabilitiesReady start Working on December 2023Willing to work in Slipi , West Jakarta.",Perekrutan – Agen (Sumber Daya Manusia & Perekrutan)
Sekretaris,PT Ometraco Arya Samanta ,"Jakarta Barat, Jakarta Raya",Penuh waktu,,"Persyaratan:Berpengalaman diposisi yang sama Minimal 2 TahunPendidikan Minimal. D3Menguasai bahasa inggris baik lisan dan tulisanMemiliki kemampuan komunikasi yang baik.Mempunyai kemampuan administrasi.Mampu Berpikir logis.Memiliki kemampuan analisis.
Tugas dan Tanggung Jawab :Melakukan fungsi AdministratifMelakukan surat menyuratpengetikan.Melakukan filling.Menjawab telepon dan email yang masuk.Melakukan komunikasi dengan berbagai pihak baik langsung dan tidak langsung.","Asisten Pribadi, Asisten Eksekutif & Sekretarial (Administrasi & Dukungan Perkantoran)"
